,ORDEN #,ORDEN,Vuelta,Cita,Doca,#,Citación,Ingreso,Egreso,MLP,Unidad,Cambió??,Bloque,Equipo,Extrae,OrdenLetra,Concatenado,,,OrdenLetra,Concatenado,COUNTA de Concatenado,,0:35,1,Unidad,COUNTA de Unidad,,,,Doca,Bloque,Equipo
,46-TERC,K,Ola 3,Cita 13,Doca,46,10:05,10:10,10:45,,Corta,FALSE,ROCK,ROJO,10:05,K,,,,,,,,,,,,,,,,,
,47-TERC,K,Ola 3,Cita 14,Doca,47,10:05,10:10,10:45,,Corta,FALSE,ROCK,ROJO,10:05,K,,,,,,,,,,,,,,,,,
,48-TERC,K,Ola 3,Cita 15,Doca,48,10:05,10:10,10:45,,Corta,FALSE,ROCK,ROJO,10:05,K,,,,,,,,,,,,,,,,,
,1-CUAR,L,Ola 4,Cita 12,Doca,1,10:05,10:10,11:00,EntregAr,UT- SDD,FALSE,CUMBIA,ROSA,10:05,L,10:05 - EntregAr  (UT- SDD),,,,,,,,,,,,,,,,
,2-CUAR,L,Ola 4,Cita 12,Doca,2,10:05,10:10,11:00,Clicoh,UT- SDD,FALSE,CUMBIA,ROSA,10:05,L,10:05 - Clicoh  (UT- SDD),,,,,,,,,,,,,,,,
,3-CUAR,L,Ola 4,Cita 12,Doca,3,10:05,10:10,11:00,Clicoh,UT- SDD,FALSE,CUMBIA,ROSA,10:05,L,10:05 - Clicoh  (UT- SDD),,,,,,,,,,,,,,,,
,4-CUAR,L,Ola 4,Cita 12,Doca,4,10:05,10:10,11:00,DPD Argentina S.A,UT- SDD,FALSE,CUMBIA,ROSA,10:05,L,10:05 - DPD Argentina S.A  (UT- SDD),,,,,,,,,,,,,,,,
,5-CUAR,L,Ola 4,Cita 12,Doca,5,10:10,10:15,11:05,Flashbox Delivery,Larga,TRUE,CUMBIA,ROSA,10:10,L,10:10 - Flashbox Delivery  (Larga),,,,,,,,,,,,,,,,
,6-CUAR,L,Ola 4,Cita 12,Doca,6,10:10,10:15,11:05,Flashbox Delivery,Larga,TRUE,CUMBIA,ROSA,10:10,L,10:10 - Flashbox Delivery  (Larga),,,,,,,,,,,,,,,,
,7-CUAR,L,Ola 4,Cita 12,Doca,7,10:05,10:10,11:00,,Mediana,FALSE,CUMBIA,ROSA,10:05,L,,,,,,,,,,,,,,,,,
,8-CUAR,L,Ola 4,Cita 12,Doca,8,10:05,10:10,11:00,,Mediana,FALSE,CUMBIA,ROSA,10:05,L,,,,,,,,,,,,,,,,,
,9-CUAR,L,Ola 4,Cita 12,Doca,9,10:05,10:10,11:00,,Mediana,FALSE,CUMBIA,ROSA,10:05,L,,,,,,,,,,,,,,,,,
,10-CUAR,L,Ola 4,Cita 12,Doca,10,10:05,10:10,11:00,,Mediana,FALSE,CUMBIA,ROSA,10:05,L,,,,,,,,,,,,,,,,,
,11-CUAR,M,Ola 4,Cita 13,Doca,11,10:25,10:30,11:20,,Bloqueada,FALSE,CUMBIA,VERDE,10:25,M,,,,,,,,,,,,,,,,,
,12-CUAR,M,Ola 4,Cita 13,Doca,12,10:25,10:30,11:20,,Bloqueada,FALSE,CUMBIA,VERDE,10:25,M,,,,,,,,,,,,,,,,,
,13-CUAR,M,Ola 4,Cita 13,Doca,13,10:25,10:30,11:20,,Bloqueada,FALSE,CUMBIA,VERDE,10:25,M,,,,,,,,,,,,,,,,,
,24-CUAR,M,Ola 4,Cita 13,Doca,24,10:15,10:20,11:10,Chazki,Larga,TRUE,CUMBIA,VERDE,10:15,M,10:15 - Chazki  (Larga),,,,,,,,,,,,,,,,
,25-CUAR,M,Ola 4,Cita 13,Doca,25,10:15,10:20,11:10,Chazki,Larga,TRUE,CUMBIA,VERDE,10:15,M,10:15 - Chazki  (Larga),,,,,,,,,,,,,,,,
,26-CUAR,M,Ola 4,Cita 13,Doca,26,10:15,10:20,11:10,Chazki,Larga,TRUE,CUMBIA,VERDE,10:15,M,10:15 - Chazki  (Larga),,,,,,,,,,,,,,,,
,27-CUAR,M,Ola 4,Cita 13,Doca,27,10:15,10:20,11:10,Chazki,Larga,TRUE,CUMBIA,VERDE,10:15,M,10:15 - Chazki  (Larga),,,,,,,,,,,,,,,,
,28-CUAR,M,Ola 4,Cita 13,Doca,28,10:15,10:20,11:10,Chazki,Larga,TRUE,ROCK,AMARILLO,10:15,M,10:15 - Chazki  (Larga),,,,,,,,,,,,,,,,
,29-CUAR,M,Ola 4,Cita 13,Doca,29,10:15,10:20,11:10,Chazki,Larga,TRUE,ROCK,AMARILLO,10:15,M,10:15 - Chazki  (Larga),,,,,,,,,,,,,,,,
,30-CUAR,M,Ola 4,Cita 13,Doca,30,10:15,10:20,11:10,Chazki,Larga,TRUE,ROCK,AMARILLO,10:15,M,10:15 - Chazki  (Larga),,,,,,,,,,,,,,,,
,31-CUAR,M,Ola 4,Cita 13,Doca,31,10:15,10:20,11:10,,Larga,FALSE,ROCK,AMARILLO,10:15,M,,,,,,,,,,,,,,,,,
,32-CUAR,M,Ola 4,Cita 13,Doca,32,10:15,10:20,11:10,,Larga,FALSE,ROCK,AMARILLO,10:15,M,,,,,,,,,,,,,,,,,
,33-CUAR,N,Ola 4,Cita 14,Doca,33,10:30,10:35,11:25,,Larga,FALSE,CUMBIA,AZUL,10:30,N,,,,,,,,,,,,,,,,,
,34-CUAR,N,Ola 4,Cita 14,Doca,34,10:30,10:35,11:25,Maman,Larga,FALSE,CUMBIA,AZUL,10:30,N,10:30 - Maman  (Larga),,,,,,,,,,,,,,,,
,35-CUAR,N,Ola 4,Cita 14,Doca,35,10:30,10:35,11:25,Maman,Larga,FALSE,CUMBIA,AZUL,10:30,N,10:30 - Maman  (Larga),,,,,,,,,,,,,,,,
,36-CUAR,N,Ola 4,Cita 14,Doca,36,10:30,10:35,11:25,Maman,Larga,FALSE,CUMBIA,AZUL,10:30,N,10:30 - Maman  (Larga),,,,,,,,,,,,,,,,
,37-CUAR,N,Ola 4,Cita 14,Doca,37,10:30,10:35,11:25,Iflow,Larga,FALSE,CUMBIA,AZUL,10:30,N,10:30 - Iflow  (Larga),,,,,,,,,,,,,,,,
,38-CUAR,N,Ola 4,Cita 14,Doca,38,10:30,10:35,11:25,Iflow,Larga,FALSE,CUMBIA,AZUL,10:30,N,10:30 - Iflow  (Larga),,,,,,,,,,,,,,,,
,41-CUAR,N,Ola 4,Cita 14,Doca,41,10:30,10:35,11:25,,Larga,FALSE,ROCK,AZUL,10:30,N,,,,,,,,,,,,,,,,,
,42-CUAR,N,Ola 4,Cita 14,Doca,42,10:30,10:35,11:25,,Larga,FALSE,ROCK,AZUL,10:30,N,,,,,,,,,,,,,,,,,
,43-CUAR,N,Ola 4,Cita 14,Doca,43,10:30,10:35,11:25,,Larga,FALSE,ROCK,AZUL,10:30,N,,,,,,,,,,,,,,,,,
,44-CUAR,N,Ola 4,Cita 14,Doca,44,10:40,10:45,11:35,,Larga,FALSE,ROCK,AZUL,10:40,N,,,,,,,,,,,,,,,,,
,45-CUAR,N,Ola 4,Cita 14,Doca,45,10:40,10:45,11:35,,Larga,FALSE,ROCK,AZUL,10:40,N,,,,,,,,,,,,,,,,,
,49-CUAR,O,Ola 4,Cita 15,Doca,49,10:40,10:45,11:35,,Larga,FALSE,ROCK,ROJO,10:40,O,,,,,,,,,,,,,,,,,
,50-CUAR,O,Ola 4,Cita 15,Doca,50,10:40,10:45,11:35,,Larga,FALSE,ROCK,ROJO,10:40,O,,,,,,,,,,,,,,,,,
,51-CUAR,O,Ola 4,Cita 15,Doca,51,10:40,10:45,11:35,,Larga,FALSE,ROCK,ROJO,10:40,O,,,,,,,,,,,,,,,,,
,52-CUAR,O,Ola 4,Cita 15,Doca,52,10:40,10:45,11:35,,Larga,FALSE,ROCK,ROJO,10:40,O,,,,,,,,,,,,,,,,,
,53-CUAR,O,Ola 4,Cita 15,Doca,53,10:40,10:45,11:35,,Larga,FALSE,ROCK,ROJO,10:40,O,,,,,,,,,,,,,,,,,
,54-CUAR,O,Ola 4,Cita 15,Doca,54,10:40,10:45,11:35,,Larga,FALSE,ROCK,ROJO,10:40,O,,,,,,,,,,,,,,,,,
,14-CUAR,O,Ola 4,Cita 15,Doca,14,10:40,10:45,11:20,,Corta,FALSE,CUMBIA,VERDE,10:40,O,,,,,,,,,,,,,,,,,
,15-CUAR,O,Ola 4,Cita 15,Doca,15,10:40,10:45,11:20,,Corta,FALSE,CUMBIA,VERDE,10:40,O,,,,,,,,,,,,,,,,,
,16-CUAR,O,Ola 4,Cita 15,Doca,16,10:40,10:45,11:20,,Corta,FALSE,CUMBIA,VERDE,10:40,O,,,,,,,,,,,,,,,,,
,17-CUAR,O,Ola 4,Cita 15,Doca,17,10:40,10:45,11:20,,Corta,FALSE,ROCK,AMARILLO,10:40,O,,,,,,,,,,,,,,,,,
,18-CUAR,O,Ola 4,Cita 15,Doca,18,10:40,10:45,11:20,,Corta,FALSE,ROCK,AMARILLO,10:40,O,,,,,,,,,,,,,,,,,
,19-CUAR,O,Ola 4,Cita 15,Doca,19,10:40,10:45,11:20,,Corta,FALSE,ROCK,AMARILLO,10:40,O,,,,,,,,,,,,,,,,,
,20-CUAR,O,Ola 4,Cita 15,Doca,20,10:40,10:45,11:20,,Corta,FALSE,ROCK,AMARILLO,10:40,O,,,,,,,,,,,,,,,,,
,21-CUAR,O,Ola 4,Cita 15,Doca,21,10:40,10:45,11:20,,Corta,FALSE,ROCK,AMARILLO,10:40,O,,,,,,,,,,,,,,,,,
,22-CUAR,O,Ola 4,Cita 15,Doca,22,10:40,10:45,11:20,,Corta,FALSE,ROCK,AMARILLO,10:40,O,,,,,,,,,,,,,,,,,
,23-CUAR,O,Ola 4,Cita 15,Doca,23,10:45,10:50,11:25,,Corta,FALSE,ROCK,AMARILLO,10:45,O,,,,,,,,,,,,,,,,,
,46-CUAR,O,Ola 4,Cita 15,Doca,46,10:45,10:50,11:25,,Corta,FALSE,ROCK,ROJO,10:45,O,,,,,,,,,,,,,,,,,
,47-CUAR,O,Ola 4,Cita 15,Doca,47,10:45,10:50,11:25,,Corta,FALSE,ROCK,ROJO,10:45,O,,,,,,,,,,,,,,,,,
,48-CUAR,O,Ola 4,Cita 15,Doca,48,10:45,10:50,11:25,,Corta,FALSE,ROCK,ROJO,10:45,O,,,,,,,,,,,,,,,,,
,1-QUIN,Q,Ola 5,Cita 17,Doca,1,10:55,11:00,11:50,DPD Argentina S.A,UT- SDD,FALSE,CUMBIA,ROSA,10:55,Q,10:55 - DPD Argentina S.A  (UT- SDD),,,,,,,,,,,,,,,,
,2-QUIN,Q,Ola 5,Cita 17,Doca,2,10:55,11:00,11:50,Iflow,UT- SDD,FALSE,CUMBIA,ROSA,10:55,Q,10:55 - Iflow  (UT- SDD),,,,,,,,,,,,,,,,
,3-QUIN,Q,Ola 5,Cita 17,Doca,3,10:55,11:00,11:50,,UT- SDD,FALSE,CUMBIA,ROSA,10:55,Q,,,,,,,,,,,,,,,,,
,4-QUIN,Q,Ola 5,Cita 17,Doca,4,10:55,11:00,11:50,,UT- SDD,FALSE,CUMBIA,ROSA,10:55,Q,,,,,,,,,,,,,,,,,
,5-QUIN,Q,Ola 5,Cita 17,Doca,5,11:00,11:05,11:55,,Larga,FALSE,CUMBIA,ROSA,11:00,Q,,,,,,,,,,,,,,,,,
,6-QUIN,Q,Ola 5,Cita 17,Doca,6,11:00,11:05,11:55,,Larga,FALSE,CUMBIA,ROSA,11:00,Q,,,,,,,,,,,,,,,,,
,7-QUIN,Q,Ola 5,Cita 17,Doca,7,10:55,11:00,11:50,,Mediana,FALSE,CUMBIA,ROSA,10:55,Q,,,,,,,,,,,,,,,,,
,8-QUIN,Q,Ola 5,Cita 17,Doca,8,10:55,11:00,11:50,,Mediana,FALSE,CUMBIA,ROSA,10:55,Q,,,,,,,,,,,,,,,,,
,9-QUIN,Q,Ola 5,Cita 17,Doca,9,10:55,11:00,11:50,,Mediana,FALSE,CUMBIA,ROSA,10:55,Q,,,,,,,,,,,,,,,,,
,10-QUIN,Q,Ola 5,Cita 17,Doca,10,10:55,11:00,11:50,,Mediana,FALSE,CUMBIA,ROSA,10:55,Q,,,,,,,,,,,,,,,,,
,11-QUIN,Q,Ola 5,Cita 17,Doca,11,11:15,11:20,12:10,,Bloqueada,FALSE,CUMBIA,VERDE,11:15,Q,,,,,,,,,,,,,,,,,
,12-QUIN,Q,Ola 5,Cita 17,Doca,12,11:15,11:20,12:10,,Bloqueada,FALSE,CUMBIA,VERDE,11:15,Q,,,,,,,,,,,,,,,,,
,13-QUIN,Q,Ola 5,Cita 17,Doca,13,11:15,11:20,12:10,,Bloqueada,FALSE,CUMBIA,VERDE,11:15,Q,,,,,,,,,,,,,,,,,
,24-QUIN,Q,Ola 5,Cita 18,Doca,24,11:00,11:05,11:55,,Larga,FALSE,CUMBIA,VERDE,11:00,Q,,,,,,,,,,,,,,,,,
,25-QUIN,Q,Ola 5,Cita 18,Doca,25,11:00,11:05,11:55,,Larga,FALSE,CUMBIA,VERDE,11:00,Q,,,,,,,,,,,,,,,,,
,26-QUIN,Q,Ola 5,Cita 18,Doca,26,11:00,11:05,11:55,,Larga,FALSE,CUMBIA,VERDE,11:00,Q,,,,,,,,,,,,,,,,,
,27-QUIN,Q,Ola 5,Cita 18,Doca,27,11:00,11:05,11:55,,Larga,FALSE,CUMBIA,VERDE,11:00,Q,,,,,,,,,,,,,,,,,
,28-QUIN,Q,Ola 5,Cita 18,Doca,28,11:00,11:05,11:55,,Larga,FALSE,ROCK,AMARILLO,11:00,Q,,,,,,,,,,,,,,,,,
,29-QUIN,Q,Ola 5,Cita 18,Doca,29,11:00,11:05,11:55,,Larga,FALSE,ROCK,AMARILLO,11:00,Q,,,,,,,,,,,,,,,,,
,30-QUIN,Q,Ola 5,Cita 18,Doca,30,11:00,11:05,11:55,,Larga,FALSE,ROCK,AMARILLO,11:00,Q,,,,,,,,,,,,,,,,,
,31-QUIN,Q,Ola 5,Cita 18,Doca,31,11:00,11:05,11:55,,Larga,FALSE,ROCK,AMARILLO,11:00,Q,,,,,,,,,,,,,,,,,
,32-QUIN,Q,Ola 5,Cita 18,Doca,32,11:00,11:05,11:55,,Larga,FALSE,ROCK,AMARILLO,11:00,Q,,,,,,,,,,,,,,,,,
,33-QUIN,Q,Ola 5,Cita 18,Doca,33,11:00,11:05,11:55,,Larga,FALSE,CUMBIA,AZUL,11:00,Q,,,,,,,,,,,,,,,,,
,34-QUIN,Q,Ola 5,Cita 18,Doca,34,11:05,11:10,12:00,,Larga,FALSE,CUMBIA,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,35-QUIN,Q,Ola 5,Cita 18,Doca,35,11:05,11:10,12:00,,Larga,FALSE,CUMBIA,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,36-QUIN,Q,Ola 5,Cita 18,Doca,36,11:05,11:10,12:00,,Larga,FALSE,CUMBIA,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,37-QUIN,Q,Ola 5,Cita 18,Doca,37,11:05,11:10,12:00,,Larga,FALSE,CUMBIA,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,38-QUIN,Q,Ola 5,Cita 18,Doca,38,11:05,11:10,12:00,,Larga,FALSE,CUMBIA,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,41-QUIN,Q,Ola 5,Cita 18,Doca,41,11:05,11:10,12:00,,Larga,FALSE,ROCK,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,42-QUIN,Q,Ola 5,Cita 18,Doca,42,11:05,11:10,12:00,,Larga,FALSE,ROCK,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,43-QUIN,Q,Ola 5,Cita 18,Doca,43,11:05,11:10,12:00,,Larga,FALSE,ROCK,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,44-QUIN,Q,Ola 5,Cita 18,Doca,44,11:05,11:10,12:00,,Larga,FALSE,ROCK,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,45-QUIN,Q,Ola 5,Cita 18,Doca,45,11:05,11:10,12:00,,Larga,FALSE,ROCK,AZUL,11:05,Q,,,,,,,,,,,,,,,,,
,46-QUIN,T,Ola 5,Cita 18,Doca,46,11:25,11:30,12:05,,Bloqueada,FALSE,ROCK,ROJO,11:25,T,,,,,,,,,,,,,,,,,
,47-QUIN,T,Ola 5,Cita 18,Doca,47,11:25,11:30,12:05,,Bloqueada,FALSE,ROCK,ROJO,11:25,T,,,,,,,,,,,,,,,,,
,48-QUIN,T,Ola 5,Cita 18,Doca,48,11:25,11:30,12:05,,Bloqueada,FALSE,ROCK,ROJO,11:25,T,,,,,,,,,,,,,,,,,
,49-QUIN,T,Ola 5,Cita 18,Doca,49,11:30,11:35,12:25,,Larga,FALSE,ROCK,ROJO,11:30,T,,,,,,,,,,,,,,,,,
,50-QUIN,T,Ola 5,Cita 19,Doca,50,11:30,11:35,12:25,,Larga,FALSE,ROCK,ROJO,11:30,T,,,,,,,,,,,,,,,,,
,51-QUIN,T,Ola 5,Cita 19,Doca,51,11:30,11:35,12:25,,Larga,FALSE,ROCK,ROJO,11:30,T,,,,,,,,,,,,,,,,,
,52-QUIN,T,Ola 5,Cita 19,Doca,52,11:30,11:35,12:25,,Larga,FALSE,ROCK,ROJO,11:30,T,,,,,,,,,,,,,,,,,
,53-QUIN,T,Ola 5,Cita 19,Doca,53,11:30,11:35,12:25,,Larga,FALSE,ROCK,ROJO,11:30,T,,,,,,,,,,,,,,,,,
,54-QUIN,T,Ola 5,Cita 19,Doca,54,11:30,11:35,12:25,,Larga,FALSE,ROCK,ROJO,11:30,T,,,,,,,,,,,,,,,,,
,70-QUIN,R,Ola 5,Cita 19,Doca,70,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,71-QUIN,R,Ola 5,Cita 19,Doca,71,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,72-QUIN,R,Ola 5,Cita 19,Doca,72,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,73-QUIN,R,Ola 5,Cita 19,Doca,73,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,74-QUIN,R,Ola 5,Cita 19,Doca,74,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,75-QUIN,R,Ola 5,Cita 19,Doca,75,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,76-QUIN,R,Ola 5,Cita 19,Doca,76,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,77-QUIN,R,Ola 5,Cita 19,Doca,77,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,78-QUIN,R,Ola 5,Cita 19,Doca,78,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,R,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,79-QUIN,S,Ola 5,Cita 19,Doca,79,11:25,11:30,12:00,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:25,S,11:25 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,80-SEXT,S,Ola 6,Cita 20,Doca,80,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,81-SEXT,S,Ola 6,Cita 20,Doca,81,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,82-SEXT,S,Ola 6,Cita 20,Doca,82,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,83-SEXT,S,Ola 6,Cita 20,Doca,83,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,84-SEXT,S,Ola 6,Cita 20,Doca,84,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,85-SEXT,S,Ola 6,Cita 20,Doca,85,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,86-SEXT,S,Ola 6,Cita 20,Doca,86,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,87-SEXT,S,Ola 6,Cita 20,Doca,87,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,88-SEXT,S,Ola 6,Cita 20,Doca,88,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,89-SEXT,S,Ola 6,Cita 20,Doca,89,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,90-SEXT,S,Ola 6,Cita 20,Doca,90,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,91-SEXT,S,Ola 6,Cita 20,Doca,91,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,92-SEXT,S,Ola 6,Cita 20,Doca,92,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,93-SEXT,S,Ola 6,Cita 20,Doca,93,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,94-SEXT,S,Ola 6,Cita 20,Doca,94,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,95-SEXT,S,Ola 6,Cita 20,Doca,95,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,96-SEXT,S,Ola 6,Cita 20,Doca,96,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,97-SEXT,S,Ola 6,Cita 20,Doca,97,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,98-SEXT,S,Ola 6,Cita 20,Doca,98,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,99-SEXT,S,Ola 6,Cita 20,Doca,99,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,100-SEXT,S,Ola 6,Cita 20,Doca,100,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,101-SEXT,S,Ola 6,Cita 20,Doca,101,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,102-SEXT,S,Ola 6,Cita 20,Doca,102,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,103-SEXT,S,Ola 6,Cita 20,Doca,103,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,104-SEXT,S,Ola 6,Cita 20,Doca,104,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,105-SEXT,S,Ola 6,Cita 20,Doca,105,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,106-SEXT,S,Ola 6,Cita 20,Doca,106,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,107-SEXT,S,Ola 6,Cita 20,Doca,107,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,108-SEXT,S,Ola 6,Cita 20,Doca,108,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,109-SEXT,S,Ola 6,Cita 20,Doca,109,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,110-SEXT,S,Ola 6,Cita 20,Doca,110,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
,111-SEXT,S,Ola 6,Cita 20,Doca,111,11:55,12:00,12:30,Falta Asignar MLP,Meli Extra,FALSE,#N/A,#N/A,11:55,S,11:55 - Falta Asignar MLP  (Meli Extra),,,,,,,,,,,,,,,,
